PermissionName,ApplicationPermission,DelegatePermission,IsBeta,Method,Url,DocUri
AccessReview.Read.All,FALSE,TRUE,TRUE,GET ,/accessReviews/{reviewId},https://docs.microsoft.com/graph/api/accessreview-get?view=graph-rest-beta&tabs=http
AccessReview.Read.All,TRUE,FALSE,TRUE,GET ,/accessReviews/{reviewId},https://docs.microsoft.com/graph/api/accessreview-get?view=graph-rest-beta&tabs=http
AccessReview.Read.All,FALSE,TRUE,TRUE,GET ,/accessReviews/{reviewId}/decisions,https://docs.microsoft.com/graph/api/accessreview-listdecisions?view=graph-rest-beta&tabs=http
AccessReview.Read.All,TRUE,FALSE,TRUE,GET ,/accessReviews/{reviewId}/decisions,https://docs.microsoft.com/graph/api/accessreview-listdecisions?view=graph-rest-beta&tabs=http
AccessReview.Read.All,FALSE,TRUE,TRUE,GET ,/accessReviews/{reviewId}/myDecisions,https://docs.microsoft.com/graph/api/accessreview-listmydecisions?view=graph-rest-beta&tabs=http
AccessReview.Read.All,FALSE,TRUE,TRUE,GET ,/accessReviews/{reviewId}/reviewers,https://docs.microsoft.com/graph/api/accessreview-listreviewers?view=graph-rest-beta&tabs=http
AccessReview.Read.All,TRUE,FALSE,TRUE,GET ,/accessReviews/{reviewId}/reviewers,https://docs.microsoft.com/graph/api/accessreview-listreviewers?view=graph-rest-beta&tabs=http
AccessReview.Read.All,FALSE,TRUE,TRUE,GET ,/accessReviews?$filter=businessFlowTemplateId eq {businessFlowTemplate-id}&$top={pagesize}&$skip=0,https://docs.microsoft.com/graph/api/accessreview-list?view=graph-rest-beta&tabs=http
AccessReview.Read.All,TRUE,FALSE,TRUE,GET ,/accessReviews?$filter=businessFlowTemplateId eq {businessFlowTemplate-id}&$top={pagesize}&$skip=0,https://docs.microsoft.com/graph/api/accessreview-list?view=graph-rest-beta&tabs=http
AccessReview.Read.All,FALSE,TRUE,TRUE,GET ,/businessFlowTemplates,https://docs.microsoft.com/graph/api/businessflowtemplate-list?view=graph-rest-beta&tabs=http
AccessReview.Read.All,TRUE,FALSE,TRUE,GET ,/businessFlowTemplates,https://docs.microsoft.com/graph/api/businessflowtemplate-list?view=graph-rest-beta&tabs=http
AccessReview.Read.All,FALSE,TRUE,FALSE,GET ,/identityGovernance/accessReviews/definitions,https://docs.microsoft.com/graph/api/accessreviewscheduledefinition-list?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,TRUE,FALSE,FALSE,GET ,/identityGovernance/accessReviews/definitions,https://docs.microsoft.com/graph/api/accessreviewscheduledefinition-list?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,FALSE,TRUE,TRUE,GET ,/identityGovernance/accessReviews/definitions,https://docs.microsoft.com/graph/api/accessreviewscheduledefinition-list?view=graph-rest-beta&tabs=http
AccessReview.Read.All,TRUE,FALSE,TRUE,GET ,/identityGovernance/accessReviews/definitions,https://docs.microsoft.com/graph/api/accessreviewscheduledefinition-list?view=graph-rest-beta&tabs=http
AccessReview.Read.All,FALSE,TRUE,FALSE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId},https://docs.microsoft.com/graph/api/accessreviewscheduledefinition-get?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,TRUE,FALSE,FALSE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId},https://docs.microsoft.com/graph/api/accessreviewscheduledefinition-get?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,FALSE,TRUE,FALSE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId}/instances,https://docs.microsoft.com/graph/api/accessreviewinstance-list?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,TRUE,FALSE,FALSE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId}/instances,https://docs.microsoft.com/graph/api/accessreviewinstance-list?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,FALSE,TRUE,FALSE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId}/instances,https://docs.microsoft.com/graph/api/accessreviewscheduledefinition-list-instances?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,TRUE,FALSE,FALSE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId}/instances,https://docs.microsoft.com/graph/api/accessreviewscheduledefinition-list-instances?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,FALSE,TRUE,FALSE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId}/instances/{accessReviewInstanceId},https://docs.microsoft.com/graph/api/accessreviewinstance-get?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,TRUE,FALSE,FALSE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId}/instances/{accessReviewInstanceId},https://docs.microsoft.com/graph/api/accessreviewinstance-get?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,FALSE,TRUE,FALSE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId}/instances/{accessReviewInstanceId}/decisions,https://docs.microsoft.com/graph/api/accessreviewinstance-list-decisions?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,TRUE,FALSE,FALSE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId}/instances/{accessReviewInstanceId}/decisions,https://docs.microsoft.com/graph/api/accessreviewinstance-list-decisions?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,FALSE,TRUE,FALSE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId}/instances/{accessReviewInstanceId}/decisions,https://docs.microsoft.com/graph/api/accessreviewinstancedecisionitem-list?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,TRUE,FALSE,FALSE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId}/instances/{accessReviewInstanceId}/decisions,https://docs.microsoft.com/graph/api/accessreviewinstancedecisionitem-list?view=graph-rest-1.0&tabs=http
AccessReview.Read.All,FALSE,TRUE,TRUE,GET ,/identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinitionId}/instances/{accessReviewInstanceId}/decisions,https://docs.microsoft.com/graph/api/accessreviewinstance-list-decisions?view=graph-rest-beta&tabs=http
